partido_norm,banda,escore,observacao
PSTU,esquerda,1,trotskista
PCO,esquerda,1,trotskista
PCB,esquerda,1,comunista
UP,esquerda,1,sucessora do PCR
PSOL,esquerda,1,
PCDOB,esquerda,1,
PT,esquerda,2,
PV,centro-esquerda,2,posicao oscila entre esquerda e centro-esquerda
REDE,centro-esquerda,2,
PDT,centro-esquerda,2,trabalhista
PSB,centro-esquerda,2,
CIDADANIA,centro,3,ex-PPS
PSDB,centro,3,
MDB,centro,3,"partido de coalizao, baixa coesao ideologica"
PMN,centro,3,
PROS,centro,3,
SOLIDARIEDADE,centro,3,base sindical
AVANTE,centro,3,
PMB,centro,3,
PTB,centro-direita,4,
PODE,centro-direita,4,
PSD,centro-direita,4,
AGIR,centro-direita,4,ex-PTC
PL,centro-direita,4,virou direita apos 2018
PP,centro-direita,4,
REPUBLICANOS,direita,5,base evangelica
PSC,direita,5,base evangelica
DC,direita,5,ex-PSDC
UNIAO,direita,5,DEM+PSL
PATRIOTA,direita,5,
PRTB,direita,5,
NOVO,direita,5,liberal
